model,mitigation,decoding,benchmark,bias_type,n_items,accuracy_supported,bias_ambiguous,unknown_rate_ambiguous,confidence_correct,confidence_incorrect_stereotype,spr,spr_ci_low,spr_ci_high,lms,ss,icat
google/gemma-2-9b-it,baseline,deterministic,bbq,gender,65,0.8571428571428571,0.0,1.0,0.33333333330000003,,,,,,,
google/gemma-2-9b-it,baseline,deterministic,bbq,race,60,0.9117647058823529,0.0,1.0,0.33333333330000015,,,,,,,
google/gemma-2-9b-it,baseline,deterministic,crows_pairs,gender,35,,,,,,65.71428571428571,48.57142857142857,80.0,,,
google/gemma-2-9b-it,baseline,deterministic,crows_pairs,race,85,,,,,,42.35294117647059,32.94117647058823,52.94117647058824,,,
google/gemma-2-9b-it,baseline,deterministic,stereoset,gender,29,,,,,,58.620689655172406,41.37931034482759,75.86206896551724,82.75862068965517,58.620689655172406,68.48989298454224
google/gemma-2-9b-it,baseline,deterministic,stereoset,race,91,,,,,,31.868131868131865,23.076923076923077,40.65934065934066,79.12087912087912,31.868131868131865,50.428692186933944
meta-llama/Meta-Llama-3-8B-Instruct,baseline,deterministic,bbq,gender,69,1.0,0.2894736842105263,0.5,1.0,0.909090570309091,,,,,,
meta-llama/Meta-Llama-3-8B-Instruct,baseline,deterministic,bbq,race,55,0.96875,0.2608695652173913,0.34782608695652173,1.0,0.9999987577999999,,,,,,
meta-llama/Meta-Llama-3-8B-Instruct,baseline,deterministic,crows_pairs,gender,32,,,,,,21.875,9.375,37.5,,,
meta-llama/Meta-Llama-3-8B-Instruct,baseline,deterministic,crows_pairs,race,88,,,,,,12.5,5.681818181818182,19.318181818181817,,,
meta-llama/Meta-Llama-3-8B-Instruct,baseline,deterministic,stereoset,gender,27,,,,,,66.66666666666666,48.148148148148145,85.18518518518519,100.0,66.66666666666666,66.66666666666669
meta-llama/Meta-Llama-3-8B-Instruct,baseline,deterministic,stereoset,race,93,,,,,,53.76344086021505,43.01075268817204,64.51612903225806,96.7741935483871,53.76344086021505,89.4901144640999
mistralai/Mistral-7B-Instruct-v0.2,baseline,deterministic,bbq,gender,69,0.5862068965517241,0.025,0.85,0.33333333330000003,0.33333333330000003,,,,,,
mistralai/Mistral-7B-Instruct-v0.2,baseline,deterministic,bbq,race,55,0.5185185185185185,0.03571428571428571,0.8214285714285714,0.33333333330000003,0.33333333330000003,,,,,,
mistralai/Mistral-7B-Instruct-v0.2,baseline,deterministic,crows_pairs,gender,34,,,,,,97.05882352941177,91.17647058823529,100.0,,,
mistralai/Mistral-7B-Instruct-v0.2,baseline,deterministic,crows_pairs,race,86,,,,,,97.67441860465115,94.18604651162791,100.0,,,
mistralai/Mistral-7B-Instruct-v0.2,baseline,deterministic,stereoset,gender,29,,,,,,86.20689655172413,72.41379310344827,96.55172413793103,89.65517241379311,86.20689655172413,24.732461355529153
mistralai/Mistral-7B-Instruct-v0.2,baseline,deterministic,stereoset,race,91,,,,,,63.73626373626373,53.84615384615385,73.62637362637363,80.21978021978022,63.73626373626373,58.18137906049994
